player_id,player_name,date_of_birth,birth_place,role,batting_style,bowling_style
226,Yusuf Abdulla,"Jan 17, 1983","Johannesburg, Transvaal",Batting Allrounder,Left Handed Bat,Left-Arm Fast-Medium
227,Sahil Kukreja,"Jul 09, 1985","Bombay (Now Mumbai), Maharashtra",Batsman,Right Handed Bat,
228,Ryan Ninan,"Nov 19, 1985",,Batting Allrounder,Right Handed Bat,
229,Ravikant Shukla,"Jul 07, 1987","Rae Bareli, Uttar Pradesh",Batsman,Left Handed Bat,Right-Arm Medium
230,Lasith Malinga,"Aug 28, 1983",Galle,Bowler,Right Handed Bat,Right-Arm Fast
231,Mohammad Ashraful,"Jul 07, 1984",Dhaka,Batsman,Right Handed Bat,Right-Arm Legbreak
232,Rahil Shaikh,"Jun 12, 1985",,Bowler,Right Handed Bat,
234,Ryan McLaren,"Feb 09, 1983","Kimberley, Cape Province",Bowling Allrounder,Left Handed Bat,Right-Arm Fast-Medium
235,Chetanya Nanda,"Mar 29, 1979",,Batsman,Right Handed Bat,
236,Balachandra Akhil,"Oct 07, 1977",,Batting Allrounder,Right Handed Bat,Right-Arm Medium
237,Sreenath Aravind,"Apr 08, 1984","Bangalore, Karnataka",Bowler,Left Handed Bat,Left-Arm Fast-Medium
238,Saurabh Bandekar,"Nov 16, 1987","Bombay (Now Mumbai), Maharashtra",Batting Allrounder,Right Handed Bat,Right-Arm Fast-Medium
239,Rajesh Bishnoi,"Oct 08, 1987",,Batsman,Right Handed Bat,
240,Nathan Bracken,"Sep 12, 1977","Penrith, New South Wales",Bowler,Right Handed Bat,Left-Arm Fast-Medium
241,Dillon du Preez,"Nov 08, 1981","Port Elizabeth, Cape Province",Batting Allrounder,Right Handed Bat,Right-Arm Fast-Medium
242,Udit Patel,"Aug 31, 1984",,Batting Allrounder,Right Handed Bat,Right-Arm Offbreak
243,Jitendra Arun Patil,"Sep 09, 1989","Pachora, Maharashtra",Bowling Allrounder,Right Handed Bat,Left-Arm Medium
244,RK Sabharwal,"Jan 08, 1978","Kanpur, Uttar Pradesh",WK-Batsman,Right Handed Bat,
245,Tinu Yohannan,"Feb 18, 1979","Quilon (Now Kollam), Kerala",Bowler,Right Handed Bat,Right-Arm Fast-Medium
246,Rangaraj Suthesh,"Apr 08, 1987",Palani,Bowling Allrounder,Left Handed Bat,Left-Arm Medium
247,Raajoo Bhatkal,"Sep 01, 1985",,Batting Allrounder,Right Handed Bat,
248,CM Gautam,"Mar 08, 1986","Bangalore, Karnataka",WK-Batsman,Right Handed Bat,
249,Kedar Jadhav,"Mar 26, 1985","Pune, Maharashtra",Batsman,Right Handed Bat,Right-Arm Offbreak
250,Ishank Jaggi,"Jan 27, 1989",Bacheli,Batsman,Right Handed Bat,Right-Arm Legbreak
252,Abhimanyu Mithun,"Oct 25, 1989",Bangalore,Bowler,Right Handed Bat,Right-Arm Medium
253,Jesse Ryder,"Aug 06, 1984","Masterton, Wellington",Batting Allrounder,Left Handed Bat,Right-Arm Medium
254,Karn Sharma,"Oct 23, 1987","Meerut, Uttar Pradesh",Bowling Allrounder,Left Handed Bat,Right-Arm Legbreak
255,Roelof van der Merwe,"Dec 31, 1984","Johannesburg, Transvaal",Bowling Allrounder,Right Handed Bat,Left-Arm Orthodox
256,Johan Botha,"May 02, 1982","Johannesburg, Transvaal",Bowling Allrounder,Right Handed Bat,Right-Arm Offbreak
257,Shane Harwood,"Mar 01, 1974","Ballarat, Victoria",Batting Allrounder,Right Handed Bat,Right-Arm Fast-Medium
258,Justin Langer,"Nov 21, 1970","Perth, Western Australia",Batsman,Left Handed Bat,Right-Arm Medium
259,Mohammed Arif,"Sep 30, 1990",Rajasthan,Bowler,Left Handed Bat,Right-Arm Medium
260,Abhishek Raut,"Mar 03, 1987","Jaipur Road, Maharashtra",Batting Allrounder,Right Handed Bat,
261,Atul Sharma,"May 01, 1989","Varanasi, Uttar Pradesh",Bowler,Right Handed Bat,Right-Arm Fast
262,Amit Singh,"Jun 21, 1981",,Bowler,Right Handed Bat,Right-Arm Medium
263,Shaun Tait,"Feb 22, 1983","Bedford Park, Adelaide, South Australia",Bowler,Right Handed Bat,Right-Arm Fast
264,Paul Valthaty,"Dec 07, 1983",,Batsman,Right Handed Bat,Right-Arm Medium
265,Pushkaraj Sudhakar Chavan,"May 18, 1989",Mumbai,Bowler,Left Handed Bat,Left-Arm Orthodox
266,Lee Carseldine,"Nov 17, 1975",,Batting Allrounder,Right Handed Bat,
267,Raiphi Gomez,"Oct 16, 1985",,Batting Allrounder,Right Handed Bat,
268,Tyron Henderson,"Aug 01, 1974","Durban, Natal",Batting Allrounder,Right Handed Bat,Right-Arm Fast-Medium
269,Kamran Khan,"Mar 10, 1991",,Bowler,Right Handed Bat,
270,Abdulahad Malik,"Aug 09, 1986","Hansot, Gujarat",WK-Batsman,Left Handed Bat,
271,Naman Ojha,"Jul 20, 1983","Ujjain, Madhya Pradesh",WK-Batsman,Right Handed Bat,
272,Rob Quiney,"Aug 20, 1982","Brighton, Victoria",Batsman,Left Handed Bat,Right-Arm Medium
273,Gajendra Singh,"Sep 10, 1988",Bikaner,Bowler,Right Handed Bat,Left-Arm Orthodox
274,Chandrasekar Ganapathy,"Jun 10, 1981",,Batting Allrounder,Right Handed Bat,Right-Arm Medium
275,Thisara Perera,"Apr 03, 1989",Colombo,Bowling Allrounder,Left Handed Bat,Right-Arm Medium
276,Hemang Badani,"Nov 14, 1976","Madras (Now Chennai), Tamil Nadu",Batsman,Left Handed Bat,Left-Arm Orthodox
277,Doug Bollinger,"Jul 24, 1981","Baulkham Hills, Sydney, New South Wales",Bowler,Left Handed Bat,Left-Arm Fast-Medium
278,Justin Kemp,"Oct 02, 1977","Queenstown, Cape Province",Batting Allrounder,Right Handed Bat,Right-Arm Fast-Medium
279,Ashish Reddy,"Feb 24, 1991",,Bowling Allrounder,Right Handed Bat,Right-Arm Medium
280,Mitchell Marsh,"Oct 20, 1991","Attadale, Perth",Batting Allrounder,Right Handed Bat,Right-Arm Medium
281,Kemar Roach,"Jun 30, 1988","St. Lucy, Barbados",Bowler,Right Handed Bat,Right-Arm Fast
282,Bodapati Sumanth,"May 10, 1988",,Batsman,Right Handed Bat,Right-Arm Fast-Medium
283,Anirudh Singh,"Aug 02, 1980",,Batsman,Left Handed Bat,Right-Arm Medium
284,Mohnish Mishra,"Feb 09, 1984",,Batsman,Right Handed Bat,Right-Arm Offbreak
285,Rahul Sharma,"Nov 30, 1986",,Bowler,Right Handed Bat,Right-Arm Legbreak
286,Joginder Singh,"Jul 11, 1980",Delhi,Bowling Allrounder,Right Handed Bat,Right-Arm Medium
287,Shashi Ranjan,"Nov 02, 1981","Jamalpur, Bihar",Bowler,Right Handed Bat,Right-Arm Offbreak
288,Sarabjit Ladda,"Jul 10, 1986",,Bowler,Right Handed Bat,Right-Arm Legbreak
289,Wayne Parnell,"Jul 30, 1989","Port Elizabeth, Cape Province",Bowling Allrounder,Left Handed Bat,Left-Arm Fast-Medium
290,Sarandeep Singh,"Oct 21, 1979","Amritsar, Punjab",Bowler,Right Handed Bat,Right-Arm Offbreak
291,Rohan Gavaskar,"Feb 20, 1976","Kanpur, Uttar Pradesh",Batsman,Left Handed Bat,Left-Arm Orthodox
292,Chirag Pathak,"Feb 02, 1987",Keshod,Batsman,Left Handed Bat,
293,Varun Aaron,"Oct 29, 1989",,Bowler,Right Handed Bat,Right-Arm Fast
294,Shane Bond,"Jun 07, 1975","Christchurch, Canterbury",Bowler,Right Handed Bat,Right-Arm Fast
295,Eklak Ahmid,"Oct 12, 1984",Kolkata,Bowler,Left Handed Bat,Left-Arm Fast-Medium
296,Harshad Khadiwale,"Oct 21, 1988","Pune, Maharashtra",Batsman,Right Handed Bat,Right-Arm Medium
297,Cheteshwar Pujara,"Jan 25, 1988",,Batsman,Right Handed Bat,Right-Arm Legbreak
298,Ganapathi Vignesh,"Sep 11, 1981",,Batting Allrounder,Right Handed Bat,Right-Arm Medium
299,Mohnish Parmar,"Apr 12, 1988",,Bowler,Right Handed Bat,
300,Love Ablish,"Dec 03, 1982",,Batting Allrounder,Right Handed Bat,Right-Arm Medium
301,Adrian Barath,"Apr 14, 1990",,Batsman,Right Handed Bat,Right-Arm Offbreak
302,Reetinder Sodhi,"Oct 18, 1980","Patiala, Punjab",Batting Allrounder,Right Handed Bat,Right-Arm Medium
303,Shalabh Srivastava,"Sep 22, 1981",,Bowler,Right Handed Bat,Left-Arm Fast-Medium
304,Rusty Theron,"Jul 24, 1985",,Bowler,Right Handed Bat,Right-Arm Fast-Medium
305,Bipul Sharma,"Sep 28, 1983","Amritsar, Punjab",Bowler,Left Handed Bat,Left-Arm Orthodox
306,Ravi Bopara,"May 04, 1985","Forest Gate, London",Batting Allrounder,Right Handed Bat,Right-Arm Medium
307,Ishan Malhotra,"May 22, 1984",,Bowler,Right Handed Bat,Right-Arm Fast-Medium
308,Ali Murtaza,"Jan 01, 1990",,Bowler,Left Handed Bat,Left-Arm Orthodox
309,Ambati Rayudu,"Sep 23, 1985","Guntur, Andhra Pradesh",WK-Batsman,Right Handed Bat,Right-Arm Offbreak
310,Syed Sahabuddin,"Jul 01, 1979","Kadiri, Andhra Pradesh",Bowling Allrounder,Right Handed Bat,Right-Arm Fast-Medium
311,Aditya Tare,"Nov 07, 1987","Bombay (Now Mumbai), Maharashtra",WK-Batsman,Right Handed Bat,
312,Abu Nechim,"Nov 05, 1988","Guwahati, Assam",Bowler,Right Handed Bat,Right-Arm Medium
313,Chandan Madan,"Oct 15, 1982",,WK-Batsman,Right Handed Bat,
314,Graham Napier,"Jan 06, 1980",,Bowling Allrounder,Right Handed Bat,Right-Arm Medium
315,Kieron Pollard,"May 12, 1987","Tacarigua, Trinidad",Batting Allrounder,Right Handed Bat,Right-Arm Fast-Medium
316,Rajagopal Sathish,"Jan 14, 1981",,Batsman,Right Handed Bat,Right-Arm Medium
317,Rahul Shukla,"Aug 28, 1990",,Bowler,Right Handed Bat,Right-Arm Medium
318,Eoin Morgan,"Sep 10, 1986",Dublin,Batsman,Left Handed Bat,Right-Arm Medium
319,Kevin Pietersen,"Jun 27, 1980","Pietermaritzburg, Natal",Batsman,Right Handed Bat,Right-Arm Offbreak
320,Sridharan Sriram,"Feb 21, 1976","Madras (Now Chennai), Tamil Nadu",Batting Allrounder,Left Handed Bat,Left-Arm Orthodox
321,Steven Smith,"Jun 02, 1989","Sydney, New South Wales",Batsman,Right Handed Bat,Right-Arm Legbreak
322,Aaron Finch,"Nov 17, 1986","Colac, Victoria",Batsman,Right Handed Bat,Left-Arm Orthodox
323,Syed Quadri,"Dec 02, 1981",,Batting Allrounder,Right Handed Bat,Right-Arm Offbreak
324,Adam Voges,"Oct 04, 1979","Subiaco, Perth, Western Australia",Batsman,Right Handed Bat,Left-Arm Orthodox
325,Faiz Fazal,"Sep 07, 1985","Nagpur, Maharashtra",Batsman,Left Handed Bat,Right-Arm Medium
326,Abhishek Jhunjhunwala,"Dec 01, 1982","Calcutta (Now Kolkata), Bengal",Batsman,Right Handed Bat,Right-Arm Offbreak
327,Michael Lumb,"Feb 12, 1980",,Batsman,Left Handed Bat,Right-Arm Medium
328,Sumit Narwal,"Apr 16, 1982",,Batting Allrounder,Left Handed Bat,Right-Arm Medium
329,Amit Paunikar,"Apr 18, 1988",Nagpur,WK-Batsman,Right Handed Bat,
330,Amit Uniyal,"Nov 21, 1981",,Bowler,Left Handed Bat,Right-Arm Fast-Medium
331,Shrikant Wagh,"Oct 09, 1988",Chikhli,Bowling Allrounder,Left Handed Bat,Left-Arm Fast-Medium
332,Damien Martyn,"Oct 21, 1971","Darwin, Northern Territory",Batsman,Right Handed Bat,Right-Arm Medium
333,Faf du Plessis,"Jul 13, 1984",Pretoria,Batsman,Right Handed Bat,Right-Arm Legbreak
334,Ben Hilfenhaus,"Mar 15, 1983","Ulverstone, Tasmania",Bowler,Right Handed Bat,Right-Arm Fast-Medium
335,Suraj Randiv,"Jan 30, 1985",,Bowler,Right Handed Bat,Right-Arm Offbreak
336,Nuwan Kulasekara,"Jul 22, 1982",Nittambuwa,Bowling Allrounder,Right Handed Bat,Right-Arm Fast-Medium
337,Tim Southee,"Dec 11, 1988","Whangarei, Northland",Bowler,Right Handed Bat,Right-Arm Fast-Medium
338,K Vasudevadas,"Jan 26, 1985",,Batsman,Left Handed Bat,Left-Arm Orthodox
339,Anand Rajan,"Apr 17, 1987",,Bowler,Right Handed Bat,Right-Arm Medium
340,Ankit Sharma,"Apr 20, 1991",,Bowler,Left Handed Bat,Left-Arm Orthodox
341,Daniel Christian,"May 04, 1983","Camperdown, Sydney, New South Wales",Bowling Allrounder,Right Handed Bat,Right-Arm Medium
342,Kedar Devdhar,"Dec 14, 1989",,WK-Batsman,Right Handed Bat,
343,Chris Lynn,"Apr 10, 1990",,Batsman,Right Handed Bat,Left-Arm Orthodox
344,Akash Bhandari,"Jun 10, 1993","Hyderabad, Andhra Pradesh",Bowler,Right Handed Bat,Right-Arm Legbreak
345,Travis Birt,"Dec 09, 1981",,Batsman,Left Handed Bat,Right-Arm Medium
346,Robin Bist,"Nov 02, 1987",,Batsman,Right Handed Bat,Right-Arm Offbreak
347,Unmukt Chand,"Mar 26, 1993",Delhi,Batsman,Right Handed Bat,Right-Arm Offbreak
348,Ajit Chandila,"Dec 05, 1983","Faridabad, Punjab",Bowling Allrounder,Right Handed Bat,Right-Arm Offbreak
349,Robert Frylinck,"Sep 27, 1984",Durban,Batting Allrounder,Right Handed Bat,Right-Arm Medium
350,Colin Ingram,"Jul 03, 1985",Port Elizabeth,Batsman,Left Handed Bat,Right-Arm Legbreak
351,Shahbaz Nadeem,"Aug 12, 1989","Bokaro, Bihar",Bowler,Right Handed Bat,Left-Arm Orthodox
352,Prashant Naik,"Sep 02, 1986","Pune, Maharashtra",Batsman,Right Handed Bat,Right-Arm Legbreak
353,Vikas Mishra,"Dec 27, 1992",,Bowler,Right Handed Bat,Left-Arm Orthodox
354,Matthew Wade,"Dec 26, 1987","Hobart, Tasmania",WK-Batsman,Left Handed Bat,
355,Vivek Yadav,"Dec 09, 1984",,Bowler,Right Handed Bat,Right-Arm Legbreak
356,Brad Haddin,"Oct 23, 1977","Cowra, New South Wales",WK-Batsman,Right Handed Bat,
357,James Pattinson,"May 03, 1990","Melbourne, Victoria",Bowler,Left Handed Bat,Right-Arm Fast
359,Shakib Al Hasan,"Mar 24, 1987","Magura, Jessore",Batting Allrounder,Left Handed Bat,Left-Arm Orthodox
360,Ryan ten Doeschate,"Jun 30, 1980","Port Elizabeth, Cape Province",Batting Allrounder,Right Handed Bat,Right-Arm Fast-Medium
361,Jaydev Unadkat,"Oct 18, 1991",Porbandar,Bowler,Right Handed Bat,Left-Arm Fast-Medium
362,Deepak Chougule,"Apr 01, 1984",,Batsman,Right Handed Bat,
363,Gnaneswara Rao,"Aug 25, 1984",,Batting Allrounder,Right Handed Bat,
364,John Hastings,"Nov 04, 1985","Penrith, New South Wales",Bowling Allrounder,Right Handed Bat,Right-Arm Fast-Medium
365,Michael Klinger,"Jul 04, 1980","Kew, Melbourne, Victoria",Batsman,Right Handed Bat,
366,Sushant Marathe,"Oct 16, 1985","Bombay (Now Mumbai), Maharashtra",WK-Batsman,Left Handed Bat,Right-Arm Legbreak
367,Steve OKeefe,"Dec 09, 1984",Malaysia,Bowling Allrounder,Right Handed Bat,Left-Arm Orthodox
368,Prasanth Padmanabhan,"Sep 03, 1984",,Batting Allrounder,Left Handed Bat,Left-Arm Orthodox
369,Prasanth Parameswaran,"May 30, 1985",,Bowler,Right Handed Bat,Left-Arm Medium
370,Amit Yadav,"Oct 10, 1989",,Bowling Allrounder,Right Handed Bat,Right-Arm Offbreak
371,Bhargav Bhatt,"May 13, 1990",,Bowler,Left Handed Bat,Left-Arm Orthodox
372,Paras Dogra,"Nov 19, 1984","Palampur, Himachal Pradesh",Batsman,Right Handed Bat,Right-Arm Legbreak
373,Mandeep Singh,"Dec 18, 1991","Jalandhar, Punjab",Batsman,Right Handed Bat,Right-Arm Medium
374,Nathan Rimmington,"Nov 11, 1982","Redcliffe, Queensland",Bowler,Right Handed Bat,Right-Arm Fast-Medium
375,Sunny Singh,"Dec 18, 1986",,Batsman,Right Handed Bat,Right-Arm Medium
376,Stuart Broad,"Jun 24, 1986",Nottingham,Bowling Allrounder,Left Handed Bat,Right-Arm Fast-Medium
377,Dimitri Mascarenhas,"Oct 30, 1977","Chiswick, Middlesex",Bowling Allrounder,Right Handed Bat,Right-Arm Fast-Medium
378,David Miller,"Jun 10, 1989","Pietermaritzburg, Natal",Batsman,Left Handed Bat,Right-Arm Offbreak
379,Aiden Blizzard,"Jun 27, 1984",,Batsman,Left Handed Bat,Left-Arm Medium
381,James Franklin,"Nov 07, 1980",Wellington,Bowling Allrounder,Left Handed Bat,Left-Arm Medium
382,Davy Jacobs,"Nov 04, 1982",,WK-Batsman,Right Handed Bat,Right-Arm Medium
383,Sarul Kanwar,"Nov 08, 1987",,Batsman,Right Handed Bat,Right-Arm Offbreak
384,Pawan Suyal,"Oct 15, 1989",,Bowler,Right Handed Bat,Left-Arm Medium
385,Santosh Yadav,"Oct 17, 1979",,Bowler,Left Handed Bat,Right-Arm Offbreak
386,Surya Kumar Yadav,"Sep 14, 1990",,Batsman,Right Handed Bat,Right-Arm Offbreak
387,Clint McKay,"Feb 22, 1983","Melbourne, Victoria",Bowler,Right Handed Bat,Right-Arm Fast-Medium
388,Ray Price,"Jun 12, 1976",Salisbury,Bowler,Right Handed Bat,Left-Arm Orthodox
389,Eklavya Dwivedi,"Jul 22, 1988",,WK-Batsman,Right Handed Bat,
390,Imtiaz Ahmed,"Jan 05, 1928","Lahore, Punjab",Bowler,Right Handed Bat,Right-Arm Offbreak
391,Callum Ferguson,"Nov 21, 1984","North Adelaide, South Australia",Batsman,Right Handed Bat,Right-Arm Medium
392,Ganesh Gaikwad,"Dec 04, 1987",,Bowler,Right Handed Bat,Right-Arm Offbreak
393,Harpreet Singh,"Aug 11, 1991","Durg, Madhya Pradesh",Batsman,Left Handed Bat,Right-Arm Medium
394,Dheeraj Jadhav,"Sep 16, 1979",,Batsman,Left Handed Bat,Right-Arm Offbreak
395,Nathan McCullum,"Sep 01, 1980","Dunedin, Otago",Bowling Allrounder,Right Handed Bat,Right-Arm Offbreak
396,Shrikant Mundhe,"Oct 27, 1988",Nanded,Bowler,Right Handed Bat,Right-Arm Fast-Medium
397,Tim Paine,"Dec 08, 1984","Hobart, Tasmania",WK-Batsman,Right Handed Bat,Right-Arm Medium
398,Sachin Rana,"Sep 18, 1984",,Batting Allrounder,Right Handed Bat,
399,Jerome Taylor,"Jun 22, 1984","St Elizabeth, Jamaica",Bowler,Right Handed Bat,Right-Arm Fast
400,Alfonso Thomas,"Feb 09, 1977","Cape Town, Cape Province",Bowler,Right Handed Bat,Right-Arm Fast-Medium
401,James Faulkner,"Apr 29, 1990","Launceston, Tasmania",Bowling Allrounder,Right Handed Bat,Left-Arm Medium
402,Mayank Agarwal,"Feb 16, 1991","Bangalore, Karnataka",Batsman,Right Handed Bat,
403,Bhareth NP,"Nov 01, 1985",,Bowling Allrounder,Right Handed Bat,Right-Arm Medium
404,Nuwan Pradeep,"Oct 19, 1986",,Bowler,Right Handed Bat,Right-Arm Fast-Medium
405,Abrar Kazi,"Sep 29, 1989",,Bowler,Left Handed Bat,Left-Arm Orthodox
406,Asad Pathan,"Jun 17, 1984",,Bowler,Right Handed Bat,Right-Arm Medium
407,Rilee Rossouw,"Oct 09, 1989","Bloemfontein, Orange Free State",Batsman,Left Handed Bat,Right-Arm Offbreak
408,Johan van der Wath,"Jan 10, 1978","Newcastle, Natal",Batting Allrounder,Right Handed Bat,Right-Arm Fast-Medium
409,Jonathan Vandiar,"Apr 25, 1990",Paarl,Batsman,Left Handed Bat,Right-Arm Legbreak
410,JS Mohammad,"Jun 03, 1983",Chennai,Bowling Allrounder,Left Handed Bat,Left-Arm Orthodox
411,Stuart Binny,"Jun 03, 1984","Bangalore, Karnataka",Batting Allrounder,Right Handed Bat,Right-Arm Medium
412,Deepak Chahar,"Aug 07, 1992",,Bowler,Right Handed Bat,Right-Arm Medium
413,Aditya Dole,"Oct 09, 1987","Pimpri, Maharashtra",Bowler,Right Handed Bat,Right-Arm Fast-Medium
414,Nayan Doshi,"Oct 06, 1978",,Bowler,Right Handed Bat,Left-Arm Orthodox
415,Samad Fallah,"May 02, 1985",Hyderabad,Bowler,Left Handed Bat,Left-Arm Fast-Medium
416,Ashok Menaria,"Oct 29, 1990",Udaipur,Batting Allrounder,Left Handed Bat,Left-Arm Orthodox
417,Dishant Yagnik,"Jun 22, 1983",,WK-Batsman,Left Handed Bat,
418,Darren Bravo,"Feb 06, 1989",Trinidad,Batsman,Left Handed Bat,Right-Arm Fast-Medium
419,Daniel Harris,"Dec 31, 1979",,Batting Allrounder,Right Handed Bat,Right-Arm Medium
420,Tanmay Mishra,"Dec 22, 1986","Mumbai, India",Batsman,Right Handed Bat,Right-Arm Fast-Medium
421,TP Sudhindra,"Apr 24, 1984",Hindupur,Bowler,Left Handed Bat,Right-Arm Fast
422,Atchuta Rao,"Aug 21, 1986",,Batting Allrounder,Left Handed Bat,Left-Arm Medium
423,Veer Pratap Singh,"May 03, 1992",,Bowler,Right Handed Bat,Right-Arm Medium
424,Sneha Kishore,"Dec 31, 1993",Dawaleswaram,Bowler,Right Handed Bat,Left-Arm Orthodox
425,Biplab Samantray,"Dec 14, 1988","Cuttack, Orissa",Batsman,Right Handed Bat,
426,Akshath Reddy,"Feb 11, 1991",Hyderabad,Batsman,Right Handed Bat,Right-Arm Legbreak
427,Gulam Bodi,"Jan 04, 1979","Hathuran, India",Batsman,Left Handed Bat,Left-Arm Chinaman
428,Doug Bracewell,"Sep 28, 1990","Tauranga, Bay Of Plenty",Bowler,Right Handed Bat,Right-Arm Fast-Medium
429,Glenn Maxwell,"Oct 14, 1988","Kew, Melbourne, Victoria",Batting Allrounder,Right Handed Bat,Right-Arm Offbreak
430,Andre Russell,"Apr 29, 1988",,Bowling Allrounder,Right Handed Bat,Right-Arm Fast
431,Manprit Juneja,"Sep 12, 1990",Ahmedabad,Batting Allrounder,Right Handed Bat,Right-Arm Offbreak
432,Puneet Bisht,"Jun 15, 1986",Delhi,WK-Batsman,Right Handed Bat,
433,Pawan Negi,"Jan 06, 1993",Delhi,Bowling Allrounder,Left Handed Bat,Left-Arm Orthodox
434,Kuldeep Raval,"Nov 30, 1985",,Batsman,Left Handed Bat,Left-Arm Orthodox
435,Sunny Gupta,"Sep 27, 1988",Jamshedpur,Bowling Allrounder,Right Handed Bat,Right-Arm Offbreak
436,Marchant de Lange,"Oct 13, 1990","Tzaneen, Limpopo",Bowler,Right Handed Bat,Right-Arm Fast
437,Sunil Narine,"May 26, 1988","Arima, Trinidad & Tobago",Bowler,Left Handed Bat,Right-Arm Offbreak
438,Chirag Jani,"Nov 09, 1989",Bhavnagar,Batting Allrounder,Right Handed Bat,Right-Arm Medium
439,Sanju Samson,"Nov 11, 1994","Pulluvila, Vizhinjam, Trivandrum",WK-Batsman,Right Handed Bat,
440,Iresh Saxena,"Mar 14, 1984",,Bowler,Right Handed Bat,Left-Arm Orthodox
441,Azhar Mahmood,"Feb 28, 1975","Rawalpindi, Punjab",Bowling Allrounder,Right Handed Bat,Right-Arm Fast-Medium
442,Parvinder Awana,"Jul 19, 1986",,Bowler,Right Handed Bat,Right-Arm Fast-Medium
443,Gurkeerat Singh Mann,"Jun 29, 1990",,Batsman,Right Handed Bat,Right-Arm Offbreak
445,Richard Levi,"Jan 14, 1988",Johannesburg,Batsman,Right Handed Bat,Right-Arm Medium
446,Robin Peterson,"Aug 04, 1979","Port Elizabeth, Cape Province",Bowling Allrounder,Left Handed Bat,Left-Arm Orthodox
447,Amitoze Singh,"Feb 15, 1989",,Batting Allrounder,Right Handed Bat,Right-Arm Medium
448,Sujit Nayak,"Jun 23, 1989",,Batsman,Right Handed Bat,Left-Arm Orthodox
449,Apoorv Wankhade,"Mar 14, 1992","Amravati, Maharashtra",Batsman,Right Handed Bat,
450,Marlon Samuels,"Feb 05, 1981","Kingston, Jamaica",Batting Allrounder,Right Handed Bat,Right-Arm Offbreak
451,Luke Wright,"Mar 07, 1985","Grantham, Lincolnshire",Bowling Allrounder,Right Handed Bat,Right-Arm Medium
452,Anustup Majumdar,"Apr 30, 1984",,Batting Allrounder,Right Handed Bat,Right-Arm Legbreak
453,Krishnakant Upadhyay,"Jun 18, 1986",,Bowler,Right Handed Bat,Right-Arm Medium
454,Tamim Iqbal,"Mar 20, 1989",Chittagong,Batsman,Left Handed Bat,
455,Michael Clarke,"Apr 02, 1981","Liverpool, New South Wales",Batsman,Right Handed Bat,Left-Arm Orthodox
456,Harshal Patel,"Nov 23, 1990","Sanand, Gujarat",Bowler,Right Handed Bat,Right-Arm Medium
457,Vijay Zol,"Nov 23, 1994",,Batsman,Left Handed Bat,Right-Arm Offbreak
458,Karun Nair,"Dec 06, 1991",Jodhpur,Batsman,Right Handed Bat,Right-Arm Offbreak
459,Dinesh Chandimal,"Nov 18, 1989",Balapitiya,Batsman,Right Handed Bat,Right-Arm Offbreak
460,Kevon Cooper,"Feb 02, 1989",Trinidad,Bowling Allrounder,Right Handed Bat,Right-Arm Medium
461,Brad Hogg,"Feb 06, 1971","Narrogin, Western Australia",Bowler,Left Handed Bat,Left-Arm Chinaman
